@relation Records-weka.filters.unsupervised.attribute.StringToNominal-R1-1

@attribute TypeOfBet {'MATCH ODDS','OVER / UNDER','ASIAN HANDICAP'}
@attribute Odds numeric
@attribute Liquidity numeric

@data
'OVER / UNDER',1.85,1765.131284
'ASIAN HANDICAP',2.28,2045.885093
'MATCH ODDS',1.82,210.02033
'MATCH ODDS',1.91,219.694724
'MATCH ODDS',2.63,219.694724
'MATCH ODDS',1.85,219.694724
'OVER / UNDER',1.72,1766.707978
'OVER / UNDER',1.89,1755.494696
'MATCH ODDS',1.91,1774.286217
'OVER / UNDER',1.9,1772.071806
'MATCH ODDS',1.88,219.694724
'ASIAN HANDICAP',1.71,1972.180766
'OVER / UNDER',1.8,1769.126934
'OVER / UNDER',2,1778.420713
'OVER / UNDER',2.05,1768.160699
'OVER / UNDER',1.82,1755.130716
'OVER / UNDER',1.83,1771.869012
'OVER / UNDER',1.85,1771.690616
'ASIAN HANDICAP',1.83,207.67219
'MATCH ODDS',1.83,1770.783127
'OVER / UNDER',1.88,1755.494696
'OVER / UNDER',1.73,241.763191
'ASIAN HANDICAP',1.94,1475.024784
'ASIAN HANDICAP',1.82,2062.582957
'MATCH ODDS',1.73,1765.4908
'ASIAN HANDICAP',2.14,207.67219
'OVER / UNDER',1.78,1768.925555
'MATCH ODDS',2.05,1771.500188
'MATCH ODDS',1.78,1770.643224
'OVER / UNDER',1.73,1766.707978
'MATCH ODDS',2.2,1757.586358
'OVER / UNDER',1.74,1769.047981
'ASIAN HANDICAP',1.82,2023.077578
'ASIAN HANDICAP',1.82,1968.070902
'ASIAN HANDICAP',1.87,1968.345804
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',1.94,1946.605522
'MATCH ODDS',3.97,1712.731929
'MATCH ODDS',1.85,219.694724
'MATCH ODDS',1.76,219.694724
'MATCH ODDS',1.9,219.694724
'OVER / UNDER',2.02,1766.774889
'OVER / UNDER',1.9,1772.071806
'OVER / UNDER',1.84,1771.695382
'MATCH ODDS',1.94,1772.940171
'ASIAN HANDICAP',1.78,1988.924781
'ASIAN HANDICAP',1.9,2069.348438
'ASIAN HANDICAP',1.69,1966.125982
'OVER / UNDER',1.86,1755.020019
'MATCH ODDS',2.59,219.694724
'ASIAN HANDICAP',2.08,1944.196941
'ASIAN HANDICAP',1.89,1947.780274
'ASIAN HANDICAP',1.85,1979.668917
'MATCH ODDS',3.67,1715.13114
'MATCH ODDS',1.91,1774.286217
'MATCH ODDS',1.75,881.400852
'OVER / UNDER',1.79,1768.690222
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',1.83,2023.077578
'ASIAN HANDICAP',1.98,1999.501648
'MATCH ODDS',2.25,1755.253761
'MATCH ODDS',1.8,1770.787666
'ASIAN HANDICAP',1.86,207.67219
'ASIAN HANDICAP',2,207.67219
'MATCH ODDS',2.91,219.694724
'OVER / UNDER',1.82,241.763191
'MATCH ODDS',1.78,1770.643224
'OVER / UNDER',1.82,1755.130716
'OVER / UNDER',2.05,1768.160699
'OVER / UNDER',1.87,1772.232992
'ASIAN HANDICAP',1.81,1968.070902
'OVER / UNDER',1.92,1771.797239
'ASIAN HANDICAP',1.76,1475.024784
'ASIAN HANDICAP',2.22,1966.924609
'OVER / UNDER',1.82,1551.876861
'ASIAN HANDICAP',1.77,1973.996474
'MATCH ODDS',1.94,1534.44541
'ASIAN HANDICAP',1.9,2158.025421
